fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Khamzat Chimaev,Gerald Meerschaert,UFC Fight Night: Covington vs. Woodley,fighter1,http://ufcstats.com/fight-details/498766b46b8b4a7f,185.0,75,Orthodox,5.36,58,3.25,41,4.31,46,100,2.8,185.0,77,Southpaw,3.1,45,3.45,53,2.01,35,42,1.5,14,0,0,37,18,0,74.0,73.0,30.0,37.0
Colby Covington,Tyron Woodley,UFC Fight Night: Covington vs. Woodley,fighter1,http://ufcstats.com/fight-details/ca531425f5c042db,170.0,72,Orthodox,3.81,38,3.09,54,3.64,42,68,0.2,170.0,74,Orthodox,2.36,48,2.76,54,1.06,40,87,0.4,17,5,0,19,7,1,71.0,69.0,37.0,42.0
Chris Daukaus,Parker Porter,UFC 252: Miocic vs. Cormier 3,fighter1,http://ufcstats.com/fight-details/2e9ad55f2e2f7c56,205.0,76,Orthodox,6.05,50,4.64,55,0.0,0,100,0.0,265.0,75,Orthodox,6.55,50,6.32,51,1.35,26,66,0.5,12,7,0,14,9,0,75.0,72.0,35.0,39.0
Felice Herrig,Virna Jandiroba,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/5081319e58f9759f,115.0,65,Orthodox,3.84,37,5.19,48,1.08,28,75,0.8,115.0,64,Orthodox,2.12,38,2.73,57,2.29,34,73,1.7,14,10,0,21,3,0,64.0,63.0,40.0,36.0
Kai Kamaka,Tony Kelley,UFC 252: Miocic vs. Cormier 3,fighter1,http://ufcstats.com/fight-details/86deadaab9905a03,145.0,69,Orthodox,4.96,57,5.29,55,1.93,58,52,0.3,135.0,70,Switch,5.55,47,4.85,45,0.0,0,52,1.4,8,4,1,8,3,0,67.0,69.0,30.0,38.0
Ashley Yoder,Livinha Souza,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/745bdd823161da89,115.0,69,Southpaw,3.42,39,4.13,47,1.09,27,66,0.6,115.0,63,Orthodox,1.75,45,3.6,56,2.54,45,40,1.4,8,9,0,14,4,0,67.0,63.0,37.0,34.0
Junior Dos Santos,Jairzinho Rozenstruik,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/dc24c4759651c6ad,238.0,77,Orthodox,4.49,47,3.33,56,0.3,50,81,0.1,242.0,78,Orthodox,3.48,48,2.63,52,0.0,0,72,0.0,21,9,0,15,6,0,76.0,74.0,41.0,37.0
Herbert Burns,Daniel Pineda,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/0d9e9127c62811f9,145.0,73,Orthodox,1.86,36,5.17,41,2.94,34,66,1.8,145.0,69,Orthodox,2.85,49,3.26,45,1.42,24,54,1.5,11,6,0,28,17,0,69.0,67.0,37.0,39.0
Jim Miller,Vinc Pichel,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/054794810817c1cc,155.0,71,Southpaw,2.99,42,3.51,56,1.52,44,49,1.7,155.0,72,Orthodox,3.62,46,3.05,55,2.78,54,25,0.2,38,18,0,14,4,0,68.0,70.0,41.0,42.0
Sean O'Malley,Marlon Vera,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/7200343d2e957cf3,135.0,72,Switch,6.7,61,3.48,60,0.29,42,61,0.3,135.0,70,Switch,4.27,49,5.37,50,0.51,39,72,0.8,18,2,0,23,10,1,71.0,68.0,30.0,32.0
John Dodson,Merab Dvalishvili,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/57939328c1214107,135.0,66,Orthodox,3.2,40,3.58,61,0.71,28,82,0.0,135.0,68,Orthodox,4.36,42,2.51,56,5.89,35,82,0.3,22,12,0,19,4,0,63.0,66.0,40.0,34.0
TJ Brown,Danny Chavez,UFC 252: Miocic vs. Cormier 3,fighter2,http://ufcstats.com/fight-details/3e4b8bd71e8bceb2,145.0,72,Switch,3.37,44,2.89,49,3.41,57,36,1.3,145.0,67,Orthodox,2.86,38,3.83,50,1.95,60,87,0.0,17,11,0,11,5,1,69.0,68.0,34.0,38.0
Stipe Miocic,Daniel Cormier,UFC 252: Miocic vs. Cormier 3,fighter1,http://ufcstats.com/fight-details/3bdacc82209b33f5,240.0,80,Orthodox,4.67,52,4.01,52,1.74,34,65,0.0,235.0,72,Orthodox,4.25,52,2.92,54,1.83,44,80,0.4,20,5,0,22,3,0,76.0,71.0,42.0,46.0
Bryan Barberena,Anthony Ivy,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/463fc1fd1f17befb,185.0,72,Southpaw,5.35,48,4.59,44,0.13,22,50,0.3,185.0,74,Orthodox,2.5,42,4.57,51,4.69,20,100,0.0,18,12,0,8,4,0,72.0,74.0,35.0,35.0
Brok Weaver,Jalin Turner,UFC Fight Night: Waterson vs. Hill,fighter2,http://ufcstats.com/fight-details/bcc9dca5136fc765,155.0,73,Southpaw,4.78,64,4.35,46,0.41,10,66,0.4,155.0,77,Southpaw,5.6,48,4.57,41,0.79,55,74,1.1,15,6,0,14,8,0,72.0,75.0,33.0,29.0
Sabina Mazo,Justine Kish,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/ed8fb10b596e6fa4,125.0,70,Orthodox,6.1,43,4.35,57,0.65,80,59,0.2,125.0,64,Orthodox,4.51,48,4.59,57,0.87,33,50,0.1,9,4,0,7,4,0,67.0,65.0,27.0,36.0
Billy Quarantillo,Kyle Nelson,UFC Fight Night: Waterson vs. Hill,fighter1,http://ufcstats.com/fight-details/c58aaabf2c5635d7,145.0,70,Orthodox,7.44,54,5.83,42,1.47,24,61,1.0,145.0,71,Switch,3.51,45,4.72,51,1.06,20,73,0.6,18,7,0,16,6,1,70.0,71.0,36.0,33.0
