fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age
Tyron Woodley,Kamaru Usman,UFC 235: Jones vs. Smith,fighter2,http://ufcstats.com/fight-details/851645c373f50e16,170.0,74,Orthodox,2.36,48,2.76,54,1.06,40,87,0.4,170.0,76,Switch,4.36,52,2.74,54,2.82,45,89,0.1,19,7,1,20,4,0,69.0,72.0,42.0,37.0
Tecia Pennington,Zhang Weili,UFC 235: Jones vs. Smith,fighter2,http://ufcstats.com/fight-details/ec149b086b0e7fac,115.0,60,Orthodox,4.82,47,3.53,61,0.57,14,63,0.1,115.0,63,Switch,5.15,53,2.77,54,2.24,45,74,0.5,14,7,0,26,3,0,61.0,64.0,35.0,35.0
Robbie Lawler,Ben Askren,UFC 235: Jones vs. Smith,fighter2,http://ufcstats.com/fight-details/97dabff880f33202,170.0,74,Southpaw,3.85,47,4.67,59,0.65,64,65,0.0,170.0,73,Orthodox,3.64,49,5.66,36,4.33,55,0,0.9,30,16,0,19,2,0,71.0,71.0,43.0,40.0
Teruto Ishihara,Kyung Ho Kang,UFC 234: Adesanya vs. Silva,fighter2,http://ufcstats.com/fight-details/b247a1900cfae052,135.0,69,Southpaw,3.26,44,3.63,53,0.5,16,30,0.0,135.0,73,Orthodox,3.13,47,3.32,54,1.97,50,68,0.8,10,7,2,19,11,0,67.0,69.0,33.0,37.0
Shane Young,Austin Arnett,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/49f7186e1e3cf6c8,145.0,72,Orthodox,5.19,40,5.46,52,0.63,18,64,0.0,145.0,72,Orthodox,4.52,41,6.38,62,0.44,18,57,0.2,13,8,0,16,6,0,68.0,72.0,31.0,33.0
Jon Jones,Anthony Smith,UFC 235: Jones vs. Smith,fighter1,http://ufcstats.com/fight-details/5b9f545890407976,248.0,84,Orthodox,4.38,58,2.24,64,1.89,45,95,0.5,205.0,76,Orthodox,3.2,49,4.88,45,0.44,23,50,0.6,28,1,0,38,21,0,76.0,76.0,37.0,36.0
Jimmy Crute,Sam Alvey,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/e4862c4f20117cb8,205.0,74,Orthodox,4.37,53,3.63,42,3.86,52,58,1.6,185.0,75,Southpaw,3.28,44,3.63,52,0.06,14,82,0.1,12,4,2,33,18,1,74.0,74.0,29.0,38.0
Montana De La Rosa,Nadia Kassem,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/fd1854062406d287,125.0,68,Orthodox,2.9,37,3.39,45,1.85,33,68,0.8,125.0,66,Southpaw,3.13,41,4.48,48,0.46,33,40,2.8,13,9,1,5,2,0,67.0,65.0,30.0,29.0
Kai Kara-France,Raulian Paiva,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/51db35a3cf225bda,125.0,69,Orthodox,4.56,39,3.22,65,0.61,33,88,0.0,135.0,69,Orthodox,4.14,42,5.01,48,0.65,23,77,0.2,25,11,0,21,5,0,64.0,68.0,31.0,29.0
Callan Potter,Jalin Turner,UFC 234: Adesanya vs. Silva,fighter2,http://ufcstats.com/fight-details/11c0ef97497303ef,170.0,72,Orthodox,3.18,50,4.72,58,3.29,66,100,0.0,155.0,77,Southpaw,5.6,48,4.57,41,0.79,55,74,1.1,18,9,0,14,8,0,72.0,75.0,40.0,29.0
Devonte Smith,Dong Hyun Ma,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/5ff8463edf8155c0,155.0,76,Orthodox,4.55,53,3.91,49,0.35,25,85,0.3,155.0,70,Orthodox,2.84,41,4.1,54,1.27,53,33,0.0,11,4,0,16,11,3,69.0,71.0,31.0,36.0
Rani Yahya,Ricky Simon,UFC 234: Adesanya vs. Silva,fighter2,http://ufcstats.com/fight-details/069e3e704cbf6337,135.0,67,Orthodox,1.71,38,2.08,50,2.73,30,29,1.8,135.0,69,Orthodox,2.98,43,3.87,61,5.17,44,75,0.3,28,12,1,21,6,0,66.0,66.0,40.0,32.0
Lando Vannata,Marcos Mariano,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/aa71cf96ba4e5a36,155.0,71,Orthodox,4.52,45,4.76,55,1.09,37,69,0.3,155.0,76,Switch,0.25,27,2.11,43,0.0,0,28,0.0,12,7,2,6,6,0,69.0,73.0,33.0,38.0
Israel Adesanya,Anderson Silva,UFC 234: Adesanya vs. Silva,fighter1,http://ufcstats.com/fight-details/4eb91cfc892a108e,185.0,80,Switch,4.02,48,3.2,55,0.05,11,76,0.1,185.0,77,Southpaw,3.05,61,2.05,60,0.5,77,69,0.8,24,5,0,34,11,0,76.0,74.0,35.0,49.0
Benito Lopez,Manny Bermudez,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/0d698108c5f5d1d6,135.0,73,Switch,4.39,45,5.18,56,0.0,0,73,0.3,145.0,71,Orthodox,2.92,61,2.68,46,3.06,54,0,3.1,10,2,0,14,2,0,70.0,70.0,30.0,30.0
Vicente Luque,Bryan Barberena,UFC Fight Night: Ngannou vs. Velasquez,fighter1,http://ufcstats.com/fight-details/1521f94cafdfd783,170.0,75,Orthodox,5.05,51,5.22,52,0.99,53,62,0.7,185.0,72,Southpaw,5.35,48,4.59,44,0.13,22,50,0.3,23,10,1,18,12,0,71.0,72.0,33.0,35.0
Scott Holtzman,Nik Lentz,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/f96f719ad667dd96,155.0,69,Orthodox,4.32,47,3.66,55,1.88,56,67,0.2,145.0,68,Orthodox,3.44,47,3.25,50,3.3,32,43,1.2,14,6,0,30,12,2,69.0,68.0,41.0,40.0
Jimmie Rivera,Aljamain Sterling,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/58e21d505c082a9e,135.0,68,Orthodox,4.03,40,3.9,60,0.88,27,92,0.1,145.0,71,Orthodox,4.41,52,2.21,58,2.51,29,42,0.7,23,5,0,24,5,0,64.0,67.0,35.0,35.0
Andre Fili,Myles Jury,UFC Fight Night: Ngannou vs. Velasquez,fighter1,http://ufcstats.com/fight-details/0a4247ba4ae1cca5,145.0,74,Orthodox,3.84,37,4.15,51,2.17,44,70,0.2,145.0,73,Orthodox,2.94,42,2.16,66,2.16,55,50,0.3,24,12,0,17,4,0,71.0,70.0,34.0,36.0
Ashlee Evans-Smith,Andrea Lee,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/bdeca00572419011,135.0,67,Orthodox,4.03,34,4.59,53,0.95,22,50,0.0,125.0,69,Orthodox,4.71,46,3.83,62,1.7,55,54,0.6,6,6,0,13,10,0,68.0,66.0,37.0,36.0
Cortney Casey,Cynthia Calvillo,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/354425c41008a01f,125.0,67,Orthodox,4.29,39,4.0,55,0.39,31,39,0.5,115.0,64,Orthodox,4.41,38,4.12,64,1.8,44,77,0.8,10,10,0,9,6,1,67.0,64.0,37.0,37.0
Alex Caceres,Kron Gracie,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/c8bc7e668ffffc7c,145.0,73,Southpaw,4.21,49,3.09,62,0.54,68,64,0.7,145.0,70,Southpaw,2.95,42,5.73,51,0.35,25,0,0.7,21,15,0,5,3,0,70.0,69.0,36.0,36.0
James Vick,Paul Felder,UFC Fight Night: Ngannou vs. Velasquez,fighter2,http://ufcstats.com/fight-details/a212e4c197983ad1,155.0,76,Orthodox,4.13,39,3.31,60,0.26,33,57,0.7,155.0,70,Orthodox,3.7,44,3.44,48,0.29,28,64,0.2,13,5,0,17,6,0,75.0,71.0,38.0,40.0
Dennis Bermudez,Te Edwards,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/2ea1f463620bcd3d,155.0,66,Orthodox,4.42,46,3.07,59,3.89,40,82,1.1,155.0,72,Orthodox,1.5,41,4.15,44,0.72,100,44,0.0,17,9,0,6,3,0,66.0,68.0,38.0,34.0
Francis Ngannou,Cain Velasquez,UFC Fight Night: Ngannou vs. Velasquez,fighter1,http://ufcstats.com/fight-details/01983cba42704c49,250.0,83,Orthodox,2.33,41,2.16,41,0.76,62,71,0.3,240.0,77,Orthodox,6.37,57,2.33,57,5.13,45,85,0.4,17,3,0,14,3,0,76.0,73.0,38.0,42.0
Cory Sandhagen,Mario Bautista,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/efbab76bedbfb65d,135.0,70,Switch,5.02,44,3.46,56,1.19,32,63,0.3,135.0,69,Switch,5.33,47,3.91,54,1.92,33,66,0.9,17,5,0,15,2,0,71.0,69.0,32.0,31.0
Alonzo Menifield,Vinicius Moreira,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/8a9c8f1d53d8c664,205.0,76,Orthodox,4.0,55,3.92,49,0.56,31,78,0.2,205.0,76,Orthodox,3.15,59,5.07,43,1.97,18,0,1.3,16,5,1,9,5,0,72.0,76.0,37.0,36.0
Glover Teixeira,Karl Roberson,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/5d1f24e034772338,205.0,76,Orthodox,3.73,49,4.43,51,2.11,33,60,0.9,205.0,74,Southpaw,2.57,51,2.42,57,0.72,40,40,0.5,33,9,0,9,6,0,74.0,73.0,45.0,34.0
Alexander Hernandez,Donald Cerrone,UFC Fight Night: Cejudo vs. Dillashaw,fighter2,http://ufcstats.com/fight-details/3dd0951b8855137d,155.0,72,Orthodox,4.43,41,4.61,57,0.95,29,71,0.1,155.0,73,Orthodox,4.41,46,4.48,53,1.16,33,73,1.2,15,8,0,36,17,0,69.0,73.0,32.0,41.0
Joanne Wood,Ariane da Silva,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/77c6a6f33289b872,125.0,65,Orthodox,7.1,51,4.89,51,1.52,55,58,0.3,125.0,67,Orthodox,4.04,41,3.87,53,0.52,55,68,0.3,17,8,0,17,10,0,66.0,66.0,39.0,31.0
Henry Cejudo,TJ Dillashaw,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/85511ab7fd9ed061,135.0,64,Orthodox,3.82,47,3.46,59,1.84,31,76,0.1,135.0,67,Orthodox,5.09,41,3.47,62,1.56,30,77,0.8,16,5,0,18,5,0,64.0,66.0,38.0,39.0
Joseph Benavidez,Dustin Ortiz,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/4738cd4cd8d33eeb,125.0,65,Southpaw,3.52,34,2.67,61,1.41,30,62,0.6,125.0,65,Orthodox,2.94,44,2.17,56,3.01,36,52,0.1,28,8,0,19,8,0,64.0,65.0,40.0,36.0
Greg Hardy,Allen Crowder,UFC Fight Night: Cejudo vs. Dillashaw,fighter2,http://ufcstats.com/fight-details/8da2c348ba6001a0,265.0,80,Orthodox,4.79,50,3.31,55,0.2,33,64,0.0,245.0,76,Orthodox,2.95,51,2.95,56,1.85,33,100,1.2,7,5,0,10,4,0,77.0,75.0,36.0,35.0
Gregor Gillespie,Yancy Medeiros,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/0261adcfc6e49150,155.0,71,Orthodox,3.74,52,2.3,57,6.86,48,100,0.8,155.0,75,Orthodox,4.36,37,5.67,47,0.33,50,73,0.7,14,1,0,15,8,0,67.0,70.0,38.0,37.0
Paige VanZant,Rachael Ostovich,UFC Fight Night: Cejudo vs. Dillashaw,fighter1,http://ufcstats.com/fight-details/7ddd21d48e3b34b9,115.0,65,Orthodox,3.35,52,2.62,42,1.27,33,34,1.0,125.0,62,Orthodox,2.54,43,3.97,57,2.03,83,66,0.8,8,5,0,4,6,0,64.0,63.0,30.0,34.0
Chad Laprise,Dhiego Lima,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/e909e34cdee01831,170.0,71,Orthodox,4.78,42,3.59,65,1.05,54,78,0.0,170.0,75,Orthodox,3.12,39,3.88,58,1.26,34,73,0.6,13,4,0,17,9,0,70.0,74.0,38.0,36.0
Elias Theodorou,Eryk Anders,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/7d679c16024f6f38,185.0,75,Orthodox,4.19,42,2.39,53,1.27,28,59,0.0,185.0,75,Southpaw,3.54,48,4.05,50,1.71,24,80,0.1,16,3,0,17,8,0,73.0,73.0,36.0,37.0
Katlyn Cerminara,Jessica Eye,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/00b1e95f6aea7027,125.0,68,Orthodox,4.58,34,4.48,62,0.31,15,50,0.3,125.0,66,Orthodox,3.86,37,4.19,55,0.58,40,57,0.5,18,6,0,15,11,0,69.0,66.0,36.0,38.0
Diego Ferreira,Kyle Nelson,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/fdc97f9b88bdef7d,155.0,74,Orthodox,4.82,40,3.46,55,0.86,30,57,0.6,145.0,71,Switch,3.51,45,4.72,51,1.06,20,73,0.6,19,6,0,16,6,1,69.0,71.0,40.0,33.0
Olivier Aubin-Mercier,Gilbert Burns,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/1fa8537d3992a09a,155.0,70,Southpaw,2.48,51,2.97,55,2.36,33,70,0.5,170.0,71,Orthodox,3.17,48,3.57,52,2.1,37,53,0.5,11,5,0,22,8,0,69.0,70.0,36.0,38.0
Hakeem Dawodu,Kyle Bochniak,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/e0e22d7bc5a293e8,145.0,73,Orthodox,5.45,50,3.37,56,0.0,0,65,0.0,145.0,70,Orthodox,2.63,31,5.11,58,1.14,15,62,0.0,13,4,1,8,5,0,68.0,67.0,33.0,38.0
Brad Katona,Matthew Lopez,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/41feee2c08af2235,135.0,64,Orthodox,4.84,52,4.73,50,1.88,34,61,0.0,135.0,69,Southpaw,3.13,50,3.73,55,3.32,60,71,1.3,16,4,0,10,4,0,66.0,67.0,33.0,38.0
Claudia Gadelha,Nina Nunes,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/d5577e3272ef3032,115.0,63,Orthodox,3.31,41,4.57,57,3.03,42,58,0.7,125.0,64,Orthodox,4.39,45,3.47,55,0.24,33,73,0.5,18,5,0,11,7,0,64.0,65.0,36.0,39.0
Jimi Manuwa,Thiago Santos,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/37a7dc68f3a0e65d,205.0,79,Orthodox,3.43,54,3.97,49,0.53,18,70,0.4,205.0,76,Orthodox,3.72,48,2.57,53,0.88,33,65,0.1,17,6,0,22,11,0,73.0,74.0,45.0,41.0
Brian Kelleher,Montel Jackson,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/8ce926b4d38a55a0,135.0,66,Switch,3.31,41,4.59,54,1.68,41,60,0.7,135.0,75,Southpaw,3.39,53,1.42,63,3.41,71,69,0.3,24,16,0,14,2,0,66.0,70.0,38.0,32.0
Max Holloway,Brian Ortega,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/4e55251b7a0df0c2,145.0,69,Orthodox,7.16,47,4.76,59,0.25,53,83,0.3,145.0,69,Switch,4.08,37,6.59,49,1.07,26,55,1.1,26,8,0,16,4,0,71.0,68.0,33.0,34.0
Valentina Shevchenko,Joanna Jedrzejczyk,UFC 231: Holloway vs. Ortega,fighter1,http://ufcstats.com/fight-details/48a2a476d3b59866,125.0,66,Southpaw,3.16,52,2.0,64,2.74,64,71,0.3,115.0,65,Orthodox,6.28,48,3.25,62,0.27,62,80,0.1,24,4,1,16,5,0,65.0,66.0,37.0,37.0
Alex Oliveira,Gunnar Nelson,UFC 231: Holloway vs. Ortega,fighter2,http://ufcstats.com/fight-details/3a42dd84680f444b,170.0,76,Orthodox,2.99,51,2.55,46,2.35,38,63,0.6,170.0,72,Switch,1.84,61,3.0,49,1.9,59,66,1.0,22,12,1,19,5,1,71.0,71.0,37.0,36.0
Nathaniel Wood,Andre Ewell,UFC 232: Jones vs. Gustafsson 2,fighter1,http://ufcstats.com/fight-details/61bf6748cf85eb84,145.0,69,Orthodox,5.75,51,4.0,56,1.56,48,72,0.5,145.0,75,Southpaw,4.28,40,4.87,51,0.36,75,72,0.1,20,6,0,17,9,0,66.0,68.0,31.0,37.0
Curtis Millender,Siyar Bahadurzada,UFC 232: Jones vs. Gustafsson 2,fighter1,http://ufcstats.com/fight-details/3f5a623cf360c494,170.0,76,Orthodox,3.86,46,2.95,61,0.43,100,57,0.0,170.0,73,Orthodox,2.91,40,3.23,49,1.32,61,62,0.3,17,5,0,24,8,1,74.0,71.0,37.0,40.0
Cat Zingano,Megan Anderson,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/b0e16dd491bc4fea,145.0,68,Southpaw,2.57,61,1.63,47,2.77,65,42,0.8,145.0,72,Orthodox,1.76,46,3.35,37,0.52,25,53,0.5,10,4,0,11,5,0,66.0,72.0,42.0,35.0
Uriah Hall,Bevon Lewis,UFC 232: Jones vs. Gustafsson 2,fighter1,http://ufcstats.com/fight-details/4de25b19c4dedb14,185.0,79,Orthodox,3.23,48,3.85,54,0.54,38,64,0.1,185.0,79,Orthodox,3.73,43,2.67,54,0.0,0,66,0.0,18,11,0,7,3,0,72.0,75.0,40.0,33.0
BJ Penn,Ryan Hall,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/bd7a8c6c74655afc,155.0,70,Orthodox,2.76,48,3.2,56,1.19,55,74,0.5,145.0,70,Southpaw,2.38,50,1.33,65,0.22,9,0,2.2,16,14,2,9,2,0,69.0,70.0,46.0,40.0
Douglas Silva de Andrade,Petr Yan,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/498e7b0800af226c,135.0,68,Orthodox,3.54,38,3.93,57,0.55,42,72,0.2,135.0,67,Switch,5.11,54,4.13,58,1.61,49,84,0.1,29,6,0,18,5,0,67.0,67.0,39.0,32.0
Chad Mendes,Alexander Volkanovski,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/a5ea53104392fa9f,145.0,66,Orthodox,2.78,49,2.35,67,4.13,55,100,0.3,145.0,71,Orthodox,6.16,56,3.44,58,1.78,37,70,0.2,18,5,0,26,4,0,66.0,66.0,39.0,36.0
Carlos Condit,Michael Chiesa,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/1ca41d3b11d88b36,170.0,75,Orthodox,3.66,39,2.67,55,0.59,46,38,1.0,170.0,75,Southpaw,1.81,39,1.66,54,3.3,48,61,1.1,32,14,0,20,7,0,74.0,73.0,40.0,37.0
Cristiane Justino,Amanda Nunes,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/3278e45b30f7dd33,145.0,68,Orthodox,7.28,52,2.25,64,0.66,55,94,0.4,135.0,69,Orthodox,4.55,51,2.62,57,2.73,54,82,0.7,21,2,0,23,5,0,68.0,68.0,39.0,36.0
Jon Jones,Alexander Gustafsson,UFC 232: Jones vs. Gustafsson 2,fighter1,http://ufcstats.com/fight-details/ceaae1db8ccde29c,248.0,84,Orthodox,4.38,58,2.24,64,1.89,45,95,0.5,205.0,79,Orthodox,4.03,40,3.53,51,1.53,39,83,0.4,28,1,0,18,8,0,76.0,77.0,37.0,38.0
Ilir Latifi,Corey Anderson,UFC 232: Jones vs. Gustafsson 2,fighter2,http://ufcstats.com/fight-details/9ee818e10dcf3b45,230.0,73,Orthodox,2.05,45,2.93,56,2.11,35,100,0.3,205.0,79,Orthodox,4.43,46,2.22,59,4.89,50,83,0.0,17,9,0,14,5,0,70.0,75.0,42.0,35.0
Chris de la Rocha,Juan Adams,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/c4f443509308dec6,250.0,80,Orthodox,4.08,45,6.37,43,2.02,30,33,1.0,265.0,80,Orthodox,7.09,55,4.06,34,0.91,66,57,0.0,5,3,0,5,3,0,75.0,77.0,45.0,33.0
Trevor Smith,Zak Cummings,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/bf41783b9446891e,185.0,75,Orthodox,3.29,55,3.31,51,1.7,32,60,0.7,205.0,75,Southpaw,2.96,35,2.91,55,0.62,28,66,0.6,15,10,0,25,7,0,75.0,72.0,44.0,40.0
Gerald Meerschaert,Jack Hermansson,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/986f0b480389ad25,185.0,77,Southpaw,3.1,45,3.45,53,2.01,35,42,1.5,185.0,77,Orthodox,5.09,44,3.69,56,1.53,30,80,0.4,37,18,0,24,8,0,73.0,73.0,37.0,36.0
Adam Milstead,Mike Rodriguez,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/05f1e8ff81dbe05b,205.0,76,Orthodox,3.85,46,4.79,43,0.0,0,64,0.0,205.0,82,Southpaw,4.35,53,4.24,41,0.0,0,37,0.0,8,4,0,11,7,0,75.0,76.0,37.0,36.0
Dan Ige,Jordan Griffin,UFC Fight Night: Lee vs. Iaquinta,fighter1,http://ufcstats.com/fight-details/1b6e5363eb81c409,145.0,71,Orthodox,3.66,45,3.5,56,0.99,26,57,0.2,145.0,73,Southpaw,2.52,46,3.02,50,1.45,35,42,1.9,18,9,0,18,9,0,67.0,70.0,33.0,35.0
Rob Font,Sergio Pettis,UFC Fight Night: Lee vs. Iaquinta,fighter1,http://ufcstats.com/fight-details/4da4c5ef6a4ffc5b,135.0,71,Orthodox,5.49,46,3.67,57,0.79,34,42,0.4,125.0,69,Orthodox,3.88,37,2.91,65,0.85,40,67,0.4,22,8,0,18,5,0,68.0,66.0,37.0,31.0
Zak Ottow,Dwight Grant,UFC Fight Night: Lee vs. Iaquinta,fighter1,http://ufcstats.com/fight-details/c0ab927864bb6e98,170.0,72,Orthodox,2.63,36,2.73,58,0.97,29,57,0.4,185.0,76,Switch,3.29,36,2.66,60,0.61,100,66,0.0,17,7,0,11,6,0,71.0,73.0,38.0,40.0
Jim Miller,Charles Oliveira,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/f3e289f1423c0e6f,155.0,71,Southpaw,2.99,42,3.51,56,1.52,44,49,1.7,155.0,74,Orthodox,3.4,55,3.21,49,2.25,40,56,2.7,38,18,0,35,10,0,68.0,70.0,41.0,35.0
Jared Gordon,Joaquim Silva,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/92fd2127f46b0cb7,155.0,68,Orthodox,5.75,55,3.97,56,1.78,31,62,0.0,155.0,69,Southpaw,3.66,43,4.53,53,0.39,50,69,0.8,20,7,0,13,6,0,69.0,68.0,36.0,36.0
King Green,Drakkar Klose,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/b69d3d55c84f5dd6,155.0,71,Orthodox,6.43,53,3.73,62,1.23,39,74,0.3,155.0,70,Orthodox,4.33,55,3.54,50,1.65,27,69,0.0,32,16,1,15,3,1,70.0,69.0,38.0,37.0
Edson Barboza,Dan Hooker,UFC Fight Night: Lee vs. Iaquinta,fighter1,http://ufcstats.com/fight-details/920b6f739a36e721,145.0,75,Orthodox,4.11,44,4.65,56,0.45,50,72,0.1,155.0,75,Switch,5.03,48,4.72,51,0.73,34,78,0.3,24,12,0,24,12,0,71.0,72.0,39.0,35.0
Keita Nakamura,Salim Touahri,UFC Fight Night: Dos Santos vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/94dcbc64641cbb6e,170.0,73,Southpaw,2.23,36,3.2,58,1.65,48,63,0.3,170.0,72,Orthodox,2.6,46,2.87,58,0.0,0,83,0.0,34,10,2,10,4,0,71.0,70.0,40.0,35.0
Yushin Okami,Aleksei Kunchenko,UFC Fight Night: Dos Santos vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/73a299d44d2ef5cd,170.0,75,Southpaw,2.06,38,2.25,60,1.98,39,84,0.5,170.0,70,Orthodox,3.67,44,2.83,63,0.25,33,80,0.0,34,12,0,20,2,0,74.0,68.0,43.0,40.0
Kevin Lee,Al Iaquinta,UFC Fight Night: Lee vs. Iaquinta,fighter2,http://ufcstats.com/fight-details/b9c82dfde8b66e37,170.0,77,Orthodox,3.88,42,3.6,50,3.18,43,75,0.8,155.0,70,Orthodox,4.06,40,4.53,61,0.63,18,74,0.2,18,8,0,14,7,1,69.0,70.0,32.0,37.0
Wilson Reis,Ben Nguyen,UFC Fight Night: Dos Santos vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/fa9ec0b8c4b3a84a,125.0,65,Southpaw,1.83,29,3.04,55,5.15,42,47,0.6,125.0,65,Switch,3.51,40,3.01,59,0.25,33,63,1.0,23,10,0,16,8,0,64.0,65.0,40.0,36.0
Suman Mokhtarian,Sodiq Yusuff,UFC Fight Night: Dos Santos vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/0ac4f0c1b4d021f6,145.0,72,Orthodox,2.21,43,6.85,48,0.0,0,0,0.0,145.0,71,Orthodox,5.66,49,4.51,53,0.28,20,62,0.4,8,5,0,13,4,0,68.0,69.0,32.0,31.0
Jimmy Crute,Paul Craig,UFC Fight Night: Dos Santos vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/29f40d82bd128c65,205.0,74,Orthodox,4.37,53,3.63,42,3.86,52,58,1.6,185.0,76,Orthodox,2.52,44,3.03,43,1.52,20,37,1.4,12,4,2,17,9,1,74.0,75.0,29.0,37.0
Mauricio Rua,Tyson Pedro,UFC Fight Night: Dos Santos vs. Tuivasa,fighter1,http://ufcstats.com/fight-details/20063242f6e40d31,205.0,76,Orthodox,3.57,50,2.79,54,2.01,48,49,0.7,205.0,79,Orthodox,2.9,59,2.39,56,0.76,30,50,0.8,27,14,1,10,5,0,73.0,75.0,43.0,33.0
Jake Matthews,Anthony Rocco Martin,UFC Fight Night: Dos Santos vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/60cc0ac9ace28324,170.0,73,Orthodox,3.45,43,2.63,61,1.46,41,67,0.6,170.0,73,Orthodox,2.68,37,2.59,58,0.71,27,68,1.0,21,7,0,17,6,0,71.0,72.0,30.0,35.0
Mark Hunt,Justin Willis,UFC Fight Night: Dos Santos vs. Tuivasa,fighter2,http://ufcstats.com/fight-details/70feb2bfc12b97d4,265.0,72,Orthodox,2.81,43,2.9,51,0.51,55,64,0.2,264.0,78,Southpaw,3.37,59,2.57,57,0.96,66,36,0.0,13,14,1,8,2,0,70.0,73.0,51.0,37.0
Joseph Morales,Eric Shelton,UFC Fight Night: Korean Zombie vs. Rodriguez,fighter2,http://ufcstats.com/fight-details/3210723fbb018fa7,125.0,69,Switch,1.58,37,1.72,60,0.53,50,23,2.6,125.0,68,Orthodox,2.57,42,1.88,63,2.83,51,46,0.2,9,2,0,12,6,0,66.0,66.0,30.0,34.0
