fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Damon Jackson,Pat Sabatini,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/f521ecde1e96a1bd,Damon Jackson,The Leech,Record: 23-8-1 (1 NC),"5' 11""",155 lbs.,"71""",Switch,"Aug 08, 1988",2.96,42%,3.47,49%,2.30,32%,37%,1.2,Pat Sabatini,,Record: 19-5-0,"5' 8""",145 lbs.,"70""",Orthodox,"Nov 09, 1990",1.94,59%,1.47,48%,3.97,44%,50%,2.0
Tanner Boser,Rodrigo Nascimento,UFC Fight Night: Sandhagen vs. Song,fighter2,http://ufcstats.com/fight-details/3cbd3565dd631cc4,Tanner Boser,The Bulldozer,Record: 21-10-1,"6' 2""",205 lbs.,"75""",Orthodox,"Aug 02, 1991",4.70,52%,2.75,58%,0.00,0%,63%,0.0,Rodrigo Nascimento,Ze Colmeia,Record: 11-3-0 (1 NC),"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",3.71,47%,4.34,44%,1.02,37%,60%,0.5
Denise Gomes,Loma Lookboonmee,UFC Fight Night: Sandhagen vs. Song,fighter2,http://ufcstats.com/fight-details/ec0740be19b2ef90,Denise Gomes,Dee,Record: 10-3-0,"5' 2""",115 lbs.,"63""",Orthodox,"Dec 30, 1999",4.55,50%,3.11,51%,0.72,25%,67%,0.9,Loma Lookboonmee,,Record: 9-3-0,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996",4.10,57%,2.48,53%,1.90,50%,72%,0.1
Joe Pyfer,Alen Amedovski,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/160c17b8fcb0e2a1,Joe Pyfer,Bodybagz,Record: 13-3-0,"6' 2""",185 lbs.,"75""",Orthodox,"Sep 17, 1996",3.72,41%,3.48,51%,1.45,41%,50%,0.9,Alen Amedovski,,Record: 8-4-0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.99,30%,3.85,46%,0.00,0%,0%,0.0
Andre Fili,Bill Algeo,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/adb78db5ba8ccc0f,Andre Fili,Touchy,Record: 24-12-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.84,37%,4.15,51%,2.17,44%,70%,0.2,Bill Algeo,Senor Perfecto,Record: 18-9-0,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",5.88,51%,4.38,47%,1.03,50%,55%,0.1
Cory Sandhagen,Song Yadong,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/df370b97ea49e6b4,Cory Sandhagen,,Record: 17-5-0,"5' 11""",135 lbs.,"70""",Switch,"Apr 20, 1992",5.02,44%,3.46,56%,1.19,32%,63%,0.3,Song Yadong,Kung Fu Kid,Record: 22-7-1 (1 NC),"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.58,43%,4.00,55%,0.61,38%,73%,0.1
Trevin Giles,Louis Cosce,UFC Fight Night: Sandhagen vs. Song,fighter1,http://ufcstats.com/fight-details/46b9acec12a35d37,Trevin Giles,,Record: 16-7-0,"6' 0""",170 lbs.,"74""",Orthodox,"Aug 06, 1992",3.17,54%,2.39,58%,1.07,50%,72%,0.3,Louis Cosce,,Record: 7-2-0,"5' 9""",170 lbs.,"71""",Orthodox,"Aug 27, 1995",4.31,45%,5.35,47%,1.04,20%,50%,0.5
Scott Morris,Sean Daugherty,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/4acab67848e78327,Scott Morris,,Record: 2-1-0,"5' 10""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Sean Daugherty,,Record: 0-2-0,"6' 0""",175 lbs.,--,,"Dec 04, 1975",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chidi Njokuani,Gregory Rodrigues,UFC Fight Night: Sandhagen vs. Song,fighter2,http://ufcstats.com/fight-details/bd06f1c2d7e6c4a0,Chidi Njokuani,Bang Bang,Record: 24-10-0 (1 NC),"6' 3""",170 lbs.,"80""",Orthodox,"Dec 31, 1988",4.59,63%,2.67,56%,0.00,0%,74%,0.2,Gregory Rodrigues,Robocop,Record: 16-6-0,"6' 3""",185 lbs.,"75""",Orthodox,"Feb 17, 1992",5.60,53%,4.95,51%,2.31,38%,88%,0.3
Patrick Smith,Ray Wizard,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/4b9ae533ccb3fcdf,Patrick Smith,,Record: 20-17-0,"6' 2""",225 lbs.,--,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Ray Wizard,,Record: 0-1-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Orlando Wiet,Robert Lucarelli,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/3b020d4914b44fc8,Orlando Wiet,The Gladiator,Record: 1-5-0,"5' 10""",170 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Robert Lucarelli,,Record: 0-1-0,"6' 2""",245 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Johnny Rhodes,David Levicki,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/ccee020be2e8d9f6,Johnny Rhodes,,Record: 2-1-0,"6' 0""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,David Levicki,,Record: 1-3-0,"6' 5""",275 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Frank Hamaker,Thaddeus Luster,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/d917c8c7461b9831,Frank Hamaker,,Record: 1-0-0,--,--,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Thaddeus Luster,,Record: 0-1-0,"6' 3""",210 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Patrick Smith,Scott Morris,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/8ea72cf82fac07f6,Patrick Smith,,Record: 20-17-0,"6' 2""",225 lbs.,--,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Scott Morris,,Record: 2-1-0,"5' 10""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Remco Pardoel,Alberta Cerra Leon,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/17ee4caf06981b81,Remco Pardoel,Grizzly,Record: 9-6-1 (2 NC),"6' 3""",260 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Alberta Cerra Leon,,Record: 0-1-0,"5' 8""",238 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Johnny Rhodes,Fred Ettish,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/b72acedda7ddc006,Johnny Rhodes,,Record: 2-1-0,"6' 0""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Fred Ettish,,Record: 1-1-0,"6' 0""",180 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jason DeLucia,Scott Baker,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/c53325be8ce33b8b,Jason DeLucia,,Record: 33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Scott Baker,,Record: 1-1-0,"6' 0""",210 lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Remco Pardoel,Orlando Wiet,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/c4aa04781989699e,Remco Pardoel,Grizzly,Record: 9-6-1 (2 NC),"6' 3""",260 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,Orlando Wiet,The Gladiator,Record: 1-5-0,"5' 10""",170 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Royce Gracie,Patrick Smith,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/00835554f95fa911,Royce Gracie,,Record: 15-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.00,0%,66%,0.8,Patrick Smith,,Record: 20-17-0,"6' 2""",225 lbs.,--,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Royce Gracie,Minoki Ichihara,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/fcd8e8ec45eb6b9f,Royce Gracie,,Record: 15-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.00,0%,66%,0.8,Minoki Ichihara,,Record: 0-1-0,"5' 7""",178 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Royce Gracie,Jason DeLucia,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/5655639baecd8f6a,Royce Gracie,,Record: 15-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.00,0%,66%,0.8,Jason DeLucia,,Record: 33-21-1,"5' 11""",190 lbs.,--,Southpaw,"Jul 24, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Royce Gracie,Remco Pardoel,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/aa161c7159741766,Royce Gracie,,Record: 15-2-3,"6' 1""",175 lbs.,--,Southpaw,"Dec 12, 1966",0.88,41%,1.13,37%,0.00,0%,66%,0.8,Remco Pardoel,Grizzly,Record: 9-6-1 (2 NC),"6' 3""",260 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Patrick Smith,Johnny Rhodes,UFC 2: No Way Out,fighter1,http://ufcstats.com/fight-details/8fbdde20b712b8da,Patrick Smith,,Record: 20-17-0,"6' 2""",225 lbs.,--,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0,Johnny Rhodes,,Record: 2-1-0,"6' 0""",210 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Darian Weeks,Yohan Lainesse,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/86d57e8ef2191316,Darian Weeks,,Record: 5-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"Nov 23, 1993",4.49,51%,4.56,51%,2.00,30%,100%,0.0,Yohan Lainesse,White Lion,Record: 9-3-0,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",2.22,41%,3.38,58%,0.94,28%,72%,0.5
Melissa Martinez,Elise Reed,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/a5cf273faa3982b7,Melissa Martinez,Super Mely,Record: 8-1-0,"5' 2""",115 lbs.,"66""",Southpaw,"Aug 18, 1997",3.90,52%,4.33,55%,0.50,50%,25%,0.0,Elise Reed,,Record: 8-4-0,"5' 3""",115 lbs.,"63""",Orthodox,"Dec 05, 1992",3.50,53%,3.15,53%,0.49,60%,56%,0.0
Denis Tiuliulin,Jamie Pickett,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/77acb96700e89c92,Denis Tiuliulin,,Record: 10-10-0 (1 NC),"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988",3.61,41%,5.23,38%,0.96,42%,72%,0.0,Jamie Pickett,The Night Wolf,Record: 13-11-0,"6' 2""",185 lbs.,"80""",Orthodox,"Aug 29, 1988",2.65,47%,3.62,50%,1.26,40%,67%,0.1
Jake Collier,Chris Barnett,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/bf334cb4e63f3430,Jake Collier,The Prototype,Record: 13-10-0,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",5.80,44%,5.08,50%,0.71,33%,67%,0.6,Chris Barnett,Beastboy,Record: 23-9-0,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986",4.21,47%,6.53,39%,0.00,0%,33%,0.0
Chad Anheliger,Alatengheili,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/6010f681e54ba2cd,Chad Anheliger,The Monster,Record: 13-8-0,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986",3.11,46%,2.76,53%,0.68,30%,38%,0.5,Alatengheili,The Mongolian Knight,Record: 17-9-2,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.64,32%,4.67,57%,1.99,45%,75%,0.0
Jailton Almeida,Anton Turkalj,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/301f230c90c4bd7d,Jailton Almeida,Malhadinho,Record: 22-3-0,"6' 3""",205 lbs.,"79""",Orthodox,"Jun 26, 1991",2.62,65%,0.89,41%,6.58,60%,60%,2.4,Anton Turkalj,The Pleasure Man,Record: 8-4-0,"6' 4""",205 lbs.,"78""",Orthodox,"Jun 10, 1996",2.45,42%,3.42,54%,4.98,41%,16%,0.0
Norma Dumont,Danyelle Wolf,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/db3e26d02d790c97,Norma Dumont,The Immortal,Record: 12-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"Oct 01, 1990",3.86,50%,2.16,65%,1.72,56%,72%,0.0,Danyelle Wolf,,Record: 1-1-0,"5' 11""",145 lbs.,"70""",Orthodox,"Sep 08, 1983",2.37,25%,4.57,47%,0.00,0%,77%,0.5
Hakeem Dawodu,Julian Erosa,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/0e6d624086f7952e,Hakeem Dawodu,Mean,Record: 13-4-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.45,50%,3.37,56%,0.00,0%,65%,0.0,Julian Erosa,Juicy J,Record: 30-12-0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.18,48%,6.31,48%,1.69,48%,58%,0.8
Irene Aldana,Macy Chiasson,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/989b8d362742f40b,Irene Aldana,,Record: 15-8-0,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.19,39%,6.64,56%,0.15,50%,77%,0.2,Macy Chiasson,,Record: 11-3-0,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",3.77,46%,2.79,44%,2.37,38%,70%,0.4
Johnny Walker,Ion Cutelaba,UFC 279: Diaz vs. Ferguson,fighter1,http://ufcstats.com/fight-details/d869eaea38426f06,Johnny Walker,,Record: 21-9-0 (1 NC),"6' 6""",205 lbs.,"82""",Orthodox,"Mar 30, 1992",3.87,53%,3.12,44%,0.45,100%,57%,0.9,Ion Cutelaba,The Hulk,Record: 19-10-1 (1 NC),"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",4.30,43%,3.38,46%,4.17,52%,75%,0.1
Li Jingliang,Daniel Rodriguez,UFC 279: Diaz vs. Ferguson,fighter2,http://ufcstats.com/fight-details/d3e23d7d207d3ccf,Li Jingliang,The Leech,Record: 19-9-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.46,42%,3.95,56%,1.19,41%,60%,0.0,Daniel Rodriguez,D-Rod,Record: 18-5-0,"6' 1""",170 lbs.,"74""",Southpaw,"Dec 31, 1986",7.50,49%,5.47,58%,0.59,54%,57%,0.1
