fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Jocelyn Jones-Lybarger,Nina Nunes,UFC Fight Night: Rodriguez vs. Penn,fighter2,http://ufcstats.com/fight-details/53c3565ee1d3411a,Jocelyn Jones-Lybarger,,Record: 6-4-0,"5' 7""",115 lbs.,"64""",Orthodox,"Oct 04, 1985",2.96,31%,4.83,56%,0.34,25%,81%,0.0,Nina Nunes,,Record: 11-7-0,"5' 5""",125 lbs.,"64""",Orthodox,"Dec 03, 1985",4.39,45%,3.47,55%,0.24,33%,73%,0.5
Amanda Nunes,Ronda Rousey,UFC 207: Nunes vs. Rousey,fighter1,http://ufcstats.com/fight-details/0aad210fbaa1db6c,Amanda Nunes,The Lioness,Record: 23-5-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 30, 1988",4.55,51%,2.62,57%,2.73,54%,82%,0.7,Ronda Rousey,Rowdy,Record: 12-2-0,"5' 7""",135 lbs.,"66""",Orthodox,"Feb 01, 1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8
Anthony Rocco Martin,Alex White,UFC Fight Night: Rodriguez vs. Penn,fighter1,http://ufcstats.com/fight-details/8156479490877d08,Anthony Rocco Martin,,Record: 17-6-0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989",2.68,37%,2.59,58%,0.71,27%,68%,1.0,Alex White,The Spartan,Record: 13-6-0,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5
Frankie Saenz,Augusto Mendes,UFC Fight Night: Rodriguez vs. Penn,fighter2,http://ufcstats.com/fight-details/b60bbec8ec98941b,Frankie Saenz,,Record: 13-7-0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980",3.94,47%,3.50,52%,1.74,31%,61%,0.1,Augusto Mendes,Tanquinho,Record: 6-2-0,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983",2.42,34%,3.91,56%,1.75,33%,80%,0.0
Dominick Cruz,Cody Garbrandt,UFC 207: Nunes vs. Rousey,fighter2,http://ufcstats.com/fight-details/25e6b11e1cf45b83,Dominick Cruz,The Dominator,Record: 24-4-0,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 09, 1985",3.91,33%,2.61,70%,2.82,42%,83%,0.1,Cody Garbrandt,No Love,Record: 14-6-0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.98,40%,3.76,60%,1.03,34%,80%,0.0
Court McGee,Ben Saunders,UFC Fight Night: Rodriguez vs. Penn,fighter2,http://ufcstats.com/fight-details/8edb831924d69dd9,Court McGee,The Crusher,Record: 23-13-0,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.60,37%,3.59,61%,1.87,25%,69%,0.5,Ben Saunders,Killa B,Record: 22-13-2,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983",3.23,50%,3.58,51%,0.20,40%,66%,1.3
Devin Powell,Drakkar Klose,UFC Fight Night: Rodriguez vs. Penn,fighter2,http://ufcstats.com/fight-details/bbb67c2ac4453d64,Devin Powell,,Record: 9-4-0,"6' 0""",155 lbs.,"73""",Orthodox,"Mar 01, 1988",2.88,41%,3.67,51%,0.00,0%,0%,0.6,Drakkar Klose,,Record: 15-3-1,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",4.33,55%,3.54,50%,1.65,27%,69%,0.0
Yair Rodriguez,BJ Penn,UFC Fight Night: Rodriguez vs. Penn,fighter1,http://ufcstats.com/fight-details/5742025a09190829,Yair Rodriguez,El Pantera,Record: 16-5-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",4.65,46%,3.99,52%,0.69,27%,58%,0.7,BJ Penn,The Prodigy,Record: 16-14-2,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978",2.76,48%,3.20,56%,1.19,55%,74%,0.5
John Moraga,Sergio Pettis,UFC Fight Night: Rodriguez vs. Penn,fighter2,http://ufcstats.com/fight-details/7685701c382cd49a,John Moraga,,Record: 19-7-0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1,Sergio Pettis,,Record: 18-5-0,"5' 6""",125 lbs.,"69""",Orthodox,"Aug 18, 1993",3.88,37%,2.91,65%,0.85,40%,67%,0.4
Joe Lauzon,Marcin Held,UFC Fight Night: Rodriguez vs. Penn,fighter1,http://ufcstats.com/fight-details/00720c46f864fe03,Joe Lauzon,,Record: 28-16-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0,Marcin Held,,Record: 23-7-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992",1.41,34%,2.02,47%,2.46,46%,37%,1.3
Trevin Giles,James Bochnovic,UFC 213: Romero vs. Whittaker,fighter1,http://ufcstats.com/fight-details/e1100fc357e61fba,Trevin Giles,,Record: 16-7-0,"6' 0""",170 lbs.,"74""",Orthodox,"Aug 06, 1992",3.17,54%,2.39,58%,1.07,50%,72%,0.3,James Bochnovic,,Record: 8-3-0,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",0.65,26%,3.64,21%,0.00,0%,0%,0.0
Chad Laprise,Brian Camozzi,UFC 213: Romero vs. Whittaker,fighter1,http://ufcstats.com/fight-details/19eed5d9781b47ac,Chad Laprise,The Disciple,Record: 13-4-0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",4.78,42%,3.59,65%,1.05,54%,78%,0.0,Brian Camozzi,Mantis,Record: 7-5-0,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991",3.15,26%,6.39,54%,0.00,0%,0%,0.7
Cody Stamann,Terrion Ware,UFC 213: Romero vs. Whittaker,fighter1,http://ufcstats.com/fight-details/1645ed92dcdc5c03,Cody Stamann,The Spartan,Record: 21-8-1,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",4.32,46%,3.91,60%,2.17,37%,76%,0.0,Terrion Ware,Flash,Record: 17-9-0,"5' 8""",135 lbs.,"71""",Orthodox,"Mar 31, 1986",4.02,32%,6.07,50%,0.50,22%,44%,0.0
Jordan Mein,Belal Muhammad,UFC 213: Romero vs. Whittaker,fighter2,http://ufcstats.com/fight-details/9298175cb2ad7d41,Jordan Mein,Young Gun,Record: 31-12-0,"6' 0""",170 lbs.,"73""",Orthodox,"Oct 10, 1989",3.35,44%,2.55,69%,1.56,58%,66%,0.2,Belal Muhammad,Remember the Name,Record: 24-3-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.39,43%,3.48,57%,2.28,39%,89%,0.2
Thiago Santos,Gerald Meerschaert,UFC 213: Romero vs. Whittaker,fighter1,http://ufcstats.com/fight-details/323fb015ca2444e3,Thiago Santos,Marreta,Record: 22-11-0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",3.72,48%,2.57,53%,0.88,33%,65%,0.1,Gerald Meerschaert,GM3,Record: 37-18-0,"6' 1""",185 lbs.,"77""",Southpaw,"Dec 18, 1987",3.10,45%,3.45,53%,2.01,35%,42%,1.5
Alvaro Herrera Mendoza,Jordan Rinaldi,UFC Fight Night: Pettis vs. Moreno,fighter2,http://ufcstats.com/fight-details/e02fca0d258283ce,Alvaro Herrera Mendoza,Chango,Record: 9-6-0,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990",1.89,38%,3.40,55%,0.00,0%,33%,1.1,Jordan Rinaldi,All Day,Record: 14-7-0,"5' 10""",145 lbs.,"72""",Orthodox,"Sep 25, 1987",1.56,35%,2.32,59%,1.45,35%,20%,1.2
Gray Maynard,Teruto Ishihara,The Ultimate Fighter: Redemption Finale,fighter1,http://ufcstats.com/fight-details/88c2da7b33cca8d4,Gray Maynard,,Record: 13-7-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979",1.92,32%,2.64,66%,2.91,47%,81%,0.7,Teruto Ishihara,Yashabo,Record: 10-7-2,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",3.26,44%,3.63,53%,0.50,16%,30%,0.0
Thibault Gouti,Andrew Holbrook,UFC Fight Night: Volkov vs. Struve,fighter1,http://ufcstats.com/fight-details/b7ab4cd6ce7a71dd,Thibault Gouti,GT,Record: 12-5-0,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 27, 1987",3.68,34%,5.64,50%,1.23,80%,83%,0.3,Andrew Holbrook,,Record: 12-3-0,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986",2.20,49%,3.00,54%,0.85,18%,10%,2.1
Bojan Mihajlovic,Abdul-Kerim Edilov,UFC Fight Night: Volkov vs. Struve,fighter2,http://ufcstats.com/fight-details/af5f287198f20eb4,Bojan Mihajlovic,,Record: 10-6-0,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980",1.23,35%,5.95,47%,0.00,0%,33%,0.0,Abdul-Kerim Edilov,,Record: 17-4-0,"6' 2""",205 lbs.,--,Orthodox,"Nov 25, 1991",10.22,61%,0.13,92%,3.98,100%,0%,2.0
Thales Leites,Brad Tavares,UFC 216: Ferguson vs. Lee,fighter2,http://ufcstats.com/fight-details/2142ff2a46d22741,Thales Leites,,Record: 28-9-0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2.13,40%,2.99,52%,2.10,27%,30%,1.1,Brad Tavares,,Record: 20-11-0,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987",3.43,43%,3.31,55%,0.74,26%,80%,0.0
Mike Santiago,Zabit Magomedsharipov,UFC Fight Night: Volkov vs. Struve,fighter2,http://ufcstats.com/fight-details/ecbc282542a395c2,Mike Santiago,,Record: 19-12-0,"5' 10""",145 lbs.,"69""",Orthodox,"Jul 28, 1989",3.44,49%,3.58,36%,2.66,50%,53%,1.1,Zabit Magomedsharipov,,Record: 18-1-0,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991",4.89,48%,3.00,64%,5.22,56%,77%,0.8
Shinsho Anzai,Luke Jumeau,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/da7afd49fefe6a46,Shinsho Anzai,Animal,Record: 10-3-0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0,Luke Jumeau,The Jedi,Record: 13-5-0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 12, 1988",2.93,43%,3.17,58%,0.25,100%,86%,0.0
Francimar Barroso,Aleksandar Rakic,UFC Fight Night: Volkov vs. Struve,fighter2,http://ufcstats.com/fight-details/89f83750703d5fd3,Francimar Barroso,Bodao,Record: 19-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",2.77,52%,3.07,59%,2.22,24%,83%,0.0,Aleksandar Rakic,Rocket,Record: 14-5-0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.16,50%,2.91,51%,0.66,23%,85%,0.1
Jenel Lausa,Eric Shelton,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/c06eaf92bdfde8e6,Jenel Lausa,,Record: 7-5-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,42%,3.53,53%,0.55,66%,51%,0.8,Eric Shelton,Showtime,Record: 12-6-0,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991",2.57,42%,1.88,63%,2.83,51%,46%,0.2
Daichi Abe,Hyun Gyu Lim,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/e0e4ce7595b5c26a,Daichi Abe,,Record: 6-2-0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0,Hyun Gyu Lim,The Ace,Record: 13-7-1,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",4.45,41%,5.07,51%,0.23,100%,73%,0.2
Syuri Kondo,Chan-Mi Jeon,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/37cdf5bd5c975a5d,Syuri Kondo,,Record: 6-3-0,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989",5.40,44%,7.22,58%,0.00,0%,83%,0.3,Chan-Mi Jeon,,Record: 5-2-0,"5' 5""",115 lbs.,--,Orthodox,"Aug 28, 1997",6.23,31%,7.77,55%,0.00,0%,0%,0.0
Darren Stewart,Karl Roberson,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/4b202bae6c87b98b,Darren Stewart,The Dentist,Record: 12-8-0 (2 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 30, 1990",3.05,45%,3.29,48%,1.75,45%,67%,0.1,Karl Roberson,Baby K,Record: 9-6-0,"6' 1""",205 lbs.,"74""",Southpaw,"Oct 04, 1990",2.57,51%,2.42,57%,0.72,40%,40%,0.5
Jake Collier,Marcel Fortuna,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/78e554aa129711ba,Jake Collier,The Prototype,Record: 13-10-0,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",5.80,44%,5.08,50%,0.71,33%,67%,0.6,Marcel Fortuna,,Record: 9-3-0,"6' 1""",205 lbs.,"74""",Orthodox,"Oct 22, 1985",3.83,46%,4.52,64%,0.45,8%,75%,0.5
Sage Northcutt,Michel Quinones,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/60de5efe5b439c8b,Sage Northcutt,Super,Record: 11-2-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",3.58,52%,1.96,58%,1.81,34%,41%,0.6,Michel Quinones,El Capo,Record: 8-3-0,"5' 10""",155 lbs.,"73""",Orthodox,"Dec 22, 1984",2.91,29%,5.98,48%,0.00,0%,36%,0.0
Anthony Hamilton,Adam Wieczorek,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/51ec53f442d2cc9b,Anthony Hamilton,Freight Train,Record: 15-9-0,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980",3.91,65%,3.02,45%,2.62,42%,78%,0.0,Adam Wieczorek,Siwy,Record: 10-2-0,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992",1.68,38%,1.87,48%,0.41,33%,58%,0.4
Court McGee,Sean Strickland,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/d3c78cc516417797,Court McGee,The Crusher,Record: 23-13-0,"5' 11""",170 lbs.,"75""",Orthodox,"Dec 12, 1984",4.60,37%,3.59,61%,1.87,25%,69%,0.5,Sean Strickland,,Record: 29-7-0,"6' 1""",185 lbs.,"76""",Orthodox,"Feb 27, 1991",5.95,42%,4.57,60%,0.73,64%,76%,0.2
Joe Lauzon,Clay Guida,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/935f559ab0521c27,Joe Lauzon,,Record: 28-16-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0,Clay Guida,The Carpenter,Record: 38-22-0,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.00,61%,3.10,35%,66%,0.6
Raphael Assuncao,Matthew Lopez,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/151c597d2e609a4e,Raphael Assuncao,,Record: 28-10-0,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.22,42%,2.50,66%,1.65,39%,78%,0.2,Matthew Lopez,,Record: 10-4-0,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987",3.13,50%,3.73,55%,3.32,60%,71%,1.3
Angela Hill,Nina Nunes,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/7006a98fe9944571,Angela Hill,Overkill,Record: 18-14-0,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985",5.47,50%,4.92,61%,0.81,32%,75%,0.1,Nina Nunes,,Record: 11-7-0,"5' 5""",125 lbs.,"64""",Orthodox,"Dec 03, 1985",4.39,45%,3.47,55%,0.24,33%,73%,0.5
John Dodson,Marlon Moraes,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/5519d7fe2cee8353,John Dodson,The Magician,Record: 22-12-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984",3.20,40%,3.58,61%,0.71,28%,82%,0.0,Marlon Moraes,Magic,Record: 23-10-1,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.37,40%,4.53,54%,0.87,41%,46%,0.3
Tatiana Suarez,Viviane Pereira,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/5db3e2fdd18129a4,Tatiana Suarez,,Record: 11-1-0,"5' 5""",115 lbs.,"66""",Southpaw,"Dec 19, 1990",3.22,61%,1.58,47%,4.65,47%,80%,0.7,Viviane Pereira,Sucuri,Record: 13-2-0,"5' 1""",115 lbs.,"63""",Orthodox,"Aug 28, 1993",2.70,30%,4.48,58%,0.25,100%,28%,0.2
Nate Marquardt,Cezar Ferreira,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/7ad85c84025c0db0,Nate Marquardt,The Great,Record: 35-19-2,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",2.71,49%,2.32,55%,1.87,51%,70%,0.8,Cezar Ferreira,Mutante,Record: 13-8-0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5
Dustin Poirier,Anthony Pettis,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/b55605791a4d72b9,Dustin Poirier,The Diamond,Record: 30-9-0 (1 NC),"5' 9""",155 lbs.,"72""",Southpaw,"Jan 19, 1989",5.30,50%,4.33,52%,1.24,36%,64%,1.3,Anthony Pettis,Showtime,Record: 24-10-0,"5' 10""",155 lbs.,"72""",Orthodox,"Jan 27, 1987",3.05,47%,3.44,54%,0.61,50%,60%,1.1
Damien Brown,Frank Camacho,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/823797bc6d532b52,Damien Brown,Beatdown,Record: 17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",3.66,38%,4.86,50%,0.68,27%,53%,0.7,Frank Camacho,The Crank,Record: 22-10-0,"5' 10""",155 lbs.,"73""",Orthodox,"May 18, 1989",6.56,46%,7.44,51%,1.11,31%,73%,0.0
Matt Brown,Diego Sanchez,UFC Fight Night: Poirier vs. Pettis,fighter1,http://ufcstats.com/fight-details/b6b5ec324449befd,Matt Brown,The Immortal,Record: 26-19-0,"6' 0""",170 lbs.,"75""",Orthodox,"Jan 10, 1981",3.76,55%,2.92,55%,1.68,46%,63%,1.3,Diego Sanchez,Nightmare,Record: 31-13-0,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8
Nik Lentz,Will Brooks,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/fd2c018aade60a14,Nik Lentz,The Carny,Record: 30-12-2 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,47%,3.25,50%,3.30,32%,43%,1.2,Will Brooks,Ill,Record: 18-4-0,"5' 10""",155 lbs.,"72""",Orthodox,"Oct 08, 1986",4.26,59%,2.54,56%,2.08,51%,82%,0.3
Alex Chambers,Nadia Kassem,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/23b6ffc0223f8cce,Alex Chambers,Astro Girl,Record: 5-5-0,"5' 3""",115 lbs.,"63""",Southpaw,"Oct 25, 1978",2.97,54%,5.10,50%,2.31,41%,53%,1.0,Nadia Kassem,,Record: 5-2-0,"5' 5""",125 lbs.,"66""",Southpaw,"Nov 15, 1995",3.13,41%,4.48,48%,0.46,33%,40%,2.8
Junior Albini,Andrei Arlovski,UFC Fight Night: Poirier vs. Pettis,fighter2,http://ufcstats.com/fight-details/603354ffe9cc0755,Junior Albini,Baby,Record: 14-6-0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991",3.98,51%,6.08,52%,1.54,37%,100%,0.0,Andrei Arlovski,The Pitbull,Record: 34-24-0 (2 NC),"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.82,45%,3.22,57%,0.37,35%,76%,0.2
Ryan Benoit,Ashkan Mokhtarian,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/b90a5b9061ec54a5,Ryan Benoit,Baby Face,Record: 10-8-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.88,39%,3.65,58%,0.28,22%,72%,0.4,Ashkan Mokhtarian,The Assassin,Record: 13-3-0,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985",1.95,43%,3.66,43%,0.54,16%,33%,0.0
Jake Matthews,Bojan Velickovic,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/344bfe9c1ff511bb,Jake Matthews,The Celtic Kid,Record: 21-7-0,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.45,43%,2.63,61%,1.46,41%,67%,0.6,Bojan Velickovic,Serbian Steel,Record: 15-6-1,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988",2.18,34%,2.31,57%,0.67,25%,55%,0.5
Elias Theodorou,Daniel Kelly,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/569e2c02f7699c0d,Elias Theodorou,The Spartan,Record: 16-3-0,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0,Daniel Kelly,,Record: 13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,38%,4.64,61%,1.86,34%,78%,0.3
Rashad Coulter,Tai Tuivasa,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/6971094300073d47,Rashad Coulter,Daywalker,Record: 9-4-0,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",4.82,56%,6.68,50%,0.00,0%,62%,0.0,Tai Tuivasa,Bam Bam,Record: 15-8-0,"6' 2""",264 lbs.,"75""",Southpaw,"Mar 16, 1993",3.77,46%,5.18,44%,0.00,0%,57%,0.0
Bec Rawlings,Jessica-Rose Clark,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/2060e8172f820d80,Bec Rawlings,Rowdy,Record: 7-8-0,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989",4.48,42%,5.66,57%,0.71,40%,68%,0.4,Jessica-Rose Clark,,Record: 11-9-0 (1 NC),"5' 5""",135 lbs.,"64""",Orthodox,"Nov 28, 1987",3.73,51%,3.51,58%,1.66,42%,62%,0.3
Alexander Volkanovski,Shane Young,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/097bc98e15722998,Alexander Volkanovski,The Great,Record: 26-4-0,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988",6.16,56%,3.44,58%,1.78,37%,70%,0.2,Shane Young,Smokin',Record: 13-8-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 31, 1993",5.19,40%,5.46,52%,0.63,18%,64%,0.0
Tim Means,Belal Muhammad,UFC Fight Night: Werdum vs. Tybura,fighter2,http://ufcstats.com/fight-details/5ebe8d3849273776,Tim Means,The Dirty Bird,Record: 33-17-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.04,49%,3.65,60%,1.14,40%,64%,0.2,Belal Muhammad,Remember the Name,Record: 24-3-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.39,43%,3.48,57%,2.28,39%,89%,0.2
Fabricio Werdum,Marcin Tybura,UFC Fight Night: Werdum vs. Tybura,fighter1,http://ufcstats.com/fight-details/4b0aa5c67e69ce74,Fabricio Werdum,Vai Cavalo,Record: 24-9-1,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",3.59,52%,2.64,55%,1.75,31%,31%,1.2,Marcin Tybura,Tybur,Record: 26-9-0,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985",3.57,49%,3.26,55%,1.42,33%,77%,0.1
Aleksei Oleinik,Curtis Blaydes,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/8c2fb17981464d8c,Aleksei Oleinik,The Boa Constrictor,Record: 60-17-1,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977",3.29,48%,3.80,44%,1.82,46%,37%,1.9,Curtis Blaydes,Razor,Record: 18-5-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",3.54,50%,1.91,58%,5.69,53%,31%,0.0
James Vick,Joe Duffy,UFC 217: Bisping vs. St-Pierre,fighter1,http://ufcstats.com/fight-details/13635ba71963ad0c,James Vick,The Texecutioner,Record: 13-5-0,"6' 3""",155 lbs.,"76""",Orthodox,"Feb 23, 1987",4.13,39%,3.31,60%,0.26,33%,57%,0.7,Joe Duffy,Irish,Record: 16-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Feb 18, 1988",2.68,34%,3.78,54%,0.96,66%,64%,0.7
Aiemann Zahabi,Ricardo Ramos,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/56d8cc470841f454,Aiemann Zahabi,,Record: 12-2-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",4.06,46%,4.06,71%,0.16,14%,83%,0.0,Ricardo Ramos,,Record: 17-6-0,"5' 9""",145 lbs.,"72""",Orthodox,"Aug 01, 1995",3.03,36%,3.85,55%,2.77,61%,72%,0.8
Walt Harris,Mark Godbeer,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/8375f311e8c6c079,Walt Harris,The Big Ticket,Record: 13-10-0 (1 NC),"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",3.05,39%,3.33,54%,0.29,28%,70%,0.1,Mark Godbeer,The Hand Of,Record: 13-4-0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",3.97,53%,3.30,54%,0.00,0%,28%,0.0
Johny Hendricks,Paulo Costa,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/0a46cb2887890502,Johny Hendricks,Bigg Rigg,Record: 18-8-0,"5' 9""",185 lbs.,"69""",Southpaw,"Sep 12, 1983",3.49,45%,3.99,53%,3.83,46%,63%,0.3,Paulo Costa,The Eraser,Record: 14-4-0,"6' 1""",185 lbs.,"72""",Orthodox,"Apr 21, 1991",6.22,58%,6.56,49%,0.36,75%,80%,0.0
